app_name	Ntoma
app_tagline	Tsɔ avɔ si le asiwò la nàtrɔe wòazu wò awu yeye.
cd_app_logo	Ntoma ƒe dzesi
action_retry	Gadze agbagba ake
action_cancel	Dzudzɔ
action_back	Yi megbe
action_close	Ɖe edzi
action_confirm	Ɖe asi ɖe edzi
action_save	Dzraɖo
action_saved	Wodzrae ɖo
action_share	Ma
action_delete	Ɖe ɖa
action_remove	Ɖe ɖa
action_done	Wu enu
action_got_it	Megɔ̃ esi
action_continue	Yi edzi
action_see_all	Kpɔ wo katã
action_learn_more	Srɔ̃ nu geɖe wu
action_open_settings	Ɖe ɖoɖowo ƒe
action_not_now	Meɖo ŋku edzi azɔ o
action_yes	Ɛ̃
action_no	Ao
action_search	Di
action_clear	Ɖe ɖa
action_apply	Zãe
label_loading	Emɔŋ va…
label_offline	Internet meli o
label_offline_short	Internet meli o
label_online_short	Internet li
label_demo_badge	Kpɔɖeŋu
label_free	Femaxe
label_premium	Premium
label_advertisement	Adzɔnu
nav_home	Aƒeme
nav_discover	Di
nav_create	Wɔ yeye
nav_favorites	Lɔlɔ̃nuwo
nav_profile	Nye Ŋuti
cd_bottom_navigation	Zɔzɔ vevitɔ
onboarding_welcome_title	Woezɔ loo, Ntoma
onboarding_welcome_body	Ntoma gɔmee nye "avɔ" le Egbe me. Ɖe avɔ si le asiwò ƒe nɔnɔmeɖeɖe, eye míafia nu si wòate ŋu azu wò — tso kaba kɔ ɛɖɛ dzi va se ɖe kaftan yeye dzi.
onboarding_step1_title	Ɖe avɔ alo tsɔe ɖo ɖa
onboarding_step1_body	Ɖe avɔ si le kplɔ̃a dzi la ƒe nɔnɔmeɖeɖe, alo tiae tso wò nɔnɔmeɖeɖewo me. Avɔ la dzie nuwo katã dze egɔme tso.
onboarding_step2_title	Kpɔ ɖoɖo siwo sɔ kplii
onboarding_step2_body	Míexlẽ amadedewo, nutata kɔ avɔ ƒe nɔnɔme, emegbe míeɖo Ghana kɔ egbeŋkeke ƒe awuɖoɖowo ɖa na nyɔnuwo kɔ ŋutsuwo.
onboarding_step3_title	Kpɔe wò nɔnɔmeɖeɖe dzi
onboarding_step3_body	Ne èdi la, tsɔ wò nɔnɔmeɖeɖe kpe ɖe eŋu nàkpɔ ɖoɖo la amegbetɔ ƒe nɔnɔmeɖeɖe dzi hafi ayi wò tɔla gbɔ.
onboarding_step4_title	Dzraɖo eye nàma
onboarding_step4_body	Dzra avɔwo kɔ nɔnɔmeɖeɖe siwo nèlɔ̃ ɖo ɖe Lɔlɔ̃nuwo me, eye nàma wo kɔ wò tɔla alo xɔ̃wòwo.
onboarding_started_title	Mina míadze egɔme
onboarding_started_body	Wò ɖeɖe gbãtɔ la le klalo ɖi ne wò hã nèklalo.
onboarding_cta_scan	Ɖe nye avɔ ƒe nɔnɔmeɖeɖe
onboarding_cta_skip	Dze edzi megbe
onboarding_page_indicator	Axa %1$d le %2$d me
onboarding_next	Esi kplɔe ɖo
onboarding_privacy_note	Akaŋti mehiã o. Wò nɔnɔmeɖeɖewo tsia mɔ̃a dzi negbe ɖe nèbia AI nɔnɔmeɖeɖewɔwɔ ko.
home_greeting_morning	Ŋdi nyui
home_greeting_afternoon	Ŋdɔ nyui
home_greeting_evening	Fiẽ nyui
home_subtitle	Kpɔ nu si wò avɔ ate ŋu azu.
home_cta_scan	Ɖe avɔ
home_cta_upload	Tia tso nɔnɔmeɖeɖewo me
home_section_recent_fabrics	Wò avɔ yeyewo
home_section_recommended	Wotsɔ ɖo ɖa na wò
home_section_continue	Yi edzi nàwɔ
home_section_favorites	Nɔnɔmeɖeɖe siwo nèdzra ɖo
home_section_tips	Nu siwo nyanya nyui
home_tip_1_title	Ɖe nutata la ƒe ŋkuɖoɖo
home_tip_1_body	Va teƒe si nutata la axɔ agbadzi la katã — enana xlẽle le bɔbɔe wu.
home_tip_2_title	Zã ŋdɔkɛkɛ
home_tip_2_body	Ŋdɔkɛkɛ nana amadedewo ɖea wo ɖokui faa. Xɔme kɛklẽ awu ate ŋu atrɔ avɔ ƒe amadede.
home_tip_3_title	Le avɔ la ƒu anyi nyuie
home_tip_3_body	Le avɔ la ƒu anyi nyuie ne wòsɔ pɛ hafi nàɖe eƒe nɔnɔmeɖeɖe.
home_empty_recent	Avɔ aɖeke meli haɖe o
home_empty_recent_body	Wò ɖeɖewo adze afi sia ne nàte ŋu ayi edzi tso afi si nèdzudzɔ le.
home_quota_note	%1$d le %2$d dzroɖewɔwɔ femaxewo me susɔ le egbe
home_quota_exhausted	Èzã egbe ƒe dzroɖewɔwɔ femaxewo katã vɔ. Premium ɖe seɖoƒe la ɖa.
cd_scan_fabric	Ɖe avɔ ƒe nɔnɔmeɖeɖe kɔ kamera
tooltip_create	Dze egɔme le afi sia: ɖe wò avɔ ƒe nɔnɔmeɖeɖe. Àte ŋu atia nɔnɔmeɖeɖe xoxo hã.
create_title	Wɔ Yeye
create_subtitle	Nuka mee míele wɔwɔm le egbe?
create_option_camera_title	Ɖe nɔnɔmeɖeɖe
create_option_camera_body	Zã wò kamera nàɖe avɔ si le ŋkuwòme la.
create_option_gallery_title	Tia nɔnɔmeɖeɖe
create_option_gallery_body	Tia avɔ ƒe nɔnɔmeɖeɖe si le wò mɔ̃a dzi xoxo.
create_option_person_title	Do ɖoɖo kpɔ amegbetɔ dzi
create_option_person_body	Kpɔ avɔ kɔ ɖoɖo si nèdzra ɖo la nɔnɔmeɖeɖe dzi.
create_recent_title	Dɔ yeyewo
create_empty_body	Naneke meli afii haɖe o — wò avɔwo kɔ nɔnɔmeɖeɖewo adze afii.
create_guidance_header	Nu si nana kpɔɖeŋu nyuitɔ
camera_title	Ɖe avɔ
camera_guidance	De avɔ la agbadzi la me
camera_guidance_far	Va te ŋutɔ vie ne nutata la naxɔ agbadzi la katã
camera_guidance_dark	Avɔti me — kpe kɛkɛ ɖe eŋu alo ɖe kɛklẽ la
camera_capture	Ɖe nɔnɔmeɖeɖe
camera_switch_lens	Trɔ kamera
camera_flash_on	Kɛklẽ: le ʋuʋu
camera_flash_off	Kɛklẽ: tsi
camera_flash_auto	Kɛklẽ: ɖokuiwò
camera_focus_hint	Ka asi afi aɖekee ne wòaɖo ŋku edzi
camera_capturing	Emɔŋ ɖe…
camera_no_device	Kamera meli mɔ̃ sia dzi o
camera_no_device_body	Àte ŋu atia avɔ ƒe nɔnɔmeɖeɖe tso wò nɔnɔmeɖeɖewo me boŋ.
camera_capture_failed	Míete ŋu ɖe nɔnɔmeɖeɖe ma o. Gadze agbagba ake.
edit_title_fabric	Trɔ wò avɔ ƒe nɔnɔmeɖeɖe
edit_title_person	Trɔ nɔnɔmeɖeɖe la
edit_hint	Zã asibidɛ eve ne nàdo alo aɖe, hee yi teƒe, emegbe nàɖe asi ɖe edzi.
edit_rotate	Trɔe
edit_reset	Gadze egɔme
edit_ratio_free	De mɔ
edit_ratio_square	Aɖaɖa ene
edit_ratio_portrait	3:4
edit_ratio_full	Blibo
edit_retake	Ɖee ake
edit_use_photo	Zã nɔnɔmeɖeɖe la
edit_saving	Emɔŋ ɖo wò nɔnɔmeɖeɖe ɖa…
analysis_title	Emɔŋ le wò avɔ me dzrom…
analysis_stage_preparing	Emɔŋ le wò avɔ dzram ɖo…
analysis_stage_colors	Emɔŋ le amadedewo xlẽm…
analysis_stage_pattern	Emɔŋ le nutata la srɔ̃m…
analysis_stage_styles	Emɔŋ le awuɖoɖo siwo sɔ dim…
analysis_stage_finishing	Ɖoɖo ƒe nuwuwu…
analysis_result_title	Avɔ ƒe dzodzro
analysis_match_confident	Ðewohi mɔsɔ
analysis_match_possible	Ate ŋu anye esia
analysis_match_uncertain	Mekpɔ ka ɖe edzi haɖe o
analysis_confidence	Kakaɖedzi %1$d%%
analysis_section_colors	Amadede vevitɔwo
analysis_section_pattern	Nutata
analysis_section_texture	Avɔ ƒe nɔnɔme
analysis_section_print	Ɖeɖe ƒe nɔnɔmewo
analysis_section_category	Avɔ ƒomevi si wòate ŋu anye
analysis_section_style	Ghana awuɖoɖo si wòate ŋu anye
analysis_section_uses	Zazã siwo woɖo ɖa
