favorites_title	Suɔmɔi
favorites_tab_fabrics	Ntamai
favorites_tab_designs	Susumɔi
favorites_tab_looks	Shishifɔɔi
favorites_empty_title	O suɔmɔi kɛ yɔɔ
favorites_empty_body	Toɔ ntamai kɛ shishifɔɔi ni osuɔ mli nɔ o bɔɔ mɔ fɛŋ.
favorites_search_hint	Yitso o suɔmɔi mli
favorites_removed	Akɛ jɛ suɔmɔi mli
favorites_count	%1$d ni ato mli
tooltip_favorites	Toɔ susumɔi kɛ shishifɔɔi fɛŋ.
history_title	Nɔŋ ni mli
history_subtitle	Nɔŋ ni o fee ni mli ye o fɔn nɔ.
history_empty_title	Nɔŋ bɔ mli
history_empty_body	O shishifɔɔi, susumɔi kɛ shishifɔɔi ni aŋwɛɛ baaŋ shi fɛŋ.
history_clear	Kɛ nɔŋ ni mli jɛ mli
history_clear_confirm_title	Kɛ nɔŋ ni mli fɛɛ jɛ mli?
history_clear_confirm_body	Nɔŋ kɛ o shishifɔɔi, susumɔi kɛ shishifɔɔi ni mli jɛ o fɔn nɔ. O suɔmɔi ba shi.
history_cleared	Akɛ nɔŋ ni mli jɛ mli
history_item_deleted	Akɛ nɔ no jɛ mli
history_event_scan	Akɛ ntama shishifɔɔ
history_event_analysis	Ayitso %1$s mli
history_event_design	AYi %1$s
history_event_look	Aŋwɛɛ shishifɔɔ: %1$s
profile_title	Mi He Mɔɔ
profile_guest	Gbɔmɔ
profile_guest_body	O tsɔɔ Ntoma mɔ nɔ o ye akawnt. Nɔŋ fɛɛ ni o baato mli ye o fɔn nɔ.
profile_section_you	Bo
profile_section_activity	Tsuɔmɔi
profile_section_preferences	Suɔmɔi
profile_section_support	Bojamɔ
profile_row_history	Nɔŋ ni mli
profile_row_settings	Toomɔi
profile_row_notifications	Shiŋmɔi
profile_row_premium	Ntoma Premium
profile_row_help	Bojamɔ kɛ gbɛɛmɔi
profile_row_privacy	Suɔŋmɔ
profile_row_about	Ntoma he mɔɔ
profile_stats_fabrics	Ntamai
profile_stats_designs	Susumɔi
profile_stats_looks	Shishifɔɔi
profile_name_hint	Din ni abɔɔ o
profile_name_saved	Ato din no mli
profile_style_preference	Susumɔ suɔmɔ
profile_preference_womenswear	Ayeŋ dadɔi
profile_preference_menswear	Anɔŋmɔi dadɔi
profile_preference_all	Kɛ mɔ fɛɛ
settings_title	Toomɔi
settings_section_appearance	Hewɔɔmɔ
settings_section_language	Gbi
settings_section_notifications	Shiŋmɔi
settings_section_privacy	Suɔŋmɔ
settings_section_account	Akawnt
settings_section_help	Bojamɔ
settings_section_about	He mɔɔ
settings_section_analysis	Yitso fɔn
settings_theme	Hewɔɔmɔ
settings_theme_light	Shikaŋ
settings_theme_dark	Ɛsum
settings_theme_system	Fɔn no nɔŋ
settings_language	Gbi
settings_language_english	Obrifo
settings_language_twi	Twi
settings_language_ga	Ga
settings_language_ewe	Ewe
settings_language_note	Twi, Ga kɛ Ewe mɔɔ emɔŋ tsɔ. Gbiŋmɔi ni ayɛɛɛ lɛ baaŋ Obrifo mli.
settings_notif_processing	Tsuɔmɔ na gbe
settings_notif_processing_body	Ŋwɛɛ mi nɔ shishifɔɔ ko gbe lɛ.
settings_notif_recommendations	Susumɔi nɔŋ nɔi
settings_notif_recommendations_body	Susumɔi bibii kɛjɛ ntamai ni ato mli.
settings_notif_updates	Ntoma tsakemɔi
settings_notif_updates_body	Tsakemɔi kɛ yɔ ni ba Ntoma mli.
settings_notif_inspiration	Susumɔi kwɛɛ fɛɛ kwɛɛ
settings_notif_inspiration_body	Susumɔ kɛkɛ kwɛɛ fɛɛ kwɛɛ. Edum fɛŋ shishifɔɔ.
settings_notif_permission_needed	Kɛ shiŋmɔi kɛ o bɔɔ mɔ nɔŋ nɔ.
settings_notif_denied_body	Ato shiŋmɔi fɔn toomɔi mli. O shikaŋ tsɔɔ Ntoma mɔ fɛɛ ni ye.
settings_privacy_policy	Suɔŋmɔ gbɛɛmɔ
settings_terms	Mlara kɛ gbɛɛmɔi
settings_data_controls	Nɔŋ nɔ tumi
settings_delete_data	Kɛ mi nɔŋ jɛ mli
settings_clear_history	Kɛ nɔŋ ni mli jɛ mli
settings_engine	Yitso fɔn
settings_engine_demo	Fɔn nɔ nɔŋmɔ
settings_engine_demo_body	Ɛtsɔɔ o fɔn nɔŋ nɔ nɔŋ. Shishifɔɔ bɔ kɛɛ fɔn nɔ.
settings_engine_cloud	Cloud mli yitso (eyɛɛɛ mli)
settings_engine_cloud_body	Ɛtsɔɔ shishifɔɔ no kɛɛ o yitso backend. Ɛhia API — yɛtoɔɔ nyɛlɛmɔi mli app mli.
settings_engine_cloud_unavailable	Cloud endpoint bɔ, lɛɔlɛɔ Ntoma tsɔɔ fɔn nɔ fɔn no di mɔ.
settings_help_how	Kɛ Ntoma tsɔɔ mɔ
settings_help_tutorial	Nɔŋmɔ kɛ anɔɔ anɔɔ
settings_help_faq	Bimɔi ni abɔɔ gbɛɛ gbɛɛ
settings_help_contact	Bi bojamɔ
settings_about_version	Nɔŋ ni mli
settings_about_credits	Yiwalɛmɔ
settings_about_made	Aŋwɛɛ Nkran, Ghana
settings_replay_onboarding	Kɛ shishifɔɔ nɔŋmɔ eko
settings_reset_tips	Shi gbɛɛmɔ bibii eko
settings_tips_reset_done	Gbɛɛmɔ bibii baaŋ eko
settings_data_used	Kɛ ni atsɔɔ mli
premium_title	Ntoma Premium
premium_pitch	Ntoma femli no kɛɛ o kɛɛ ntama shishifɔɔ, o kɛɛ susumɔi fɛɛ ni o toɔ suɔmɔi. Premium ji gbii ni oɔsiesie dadɔi bii.
premium_benefit_analyses	Ntama yitsomɔi ni ye mli
premium_benefit_tryons	Ba-kpɔmɔi 20 fɛɛ nɔ
premium_benefit_resolution	Shishifɔɔi ni he jɔŋ
premium_benefit_speed	Mɔŋ tsɔɔmɔ
premium_benefit_styles	Susumɔi kɛ
premium_benefit_ads	Shiŋmɔi bɔ
premium_benefit_history	Nɔŋ ni mli fɛɛ ba shi
premium_price_monthly	%1$s fɛɛ nɔ
premium_price_yearly	%1$s afi fɛɛ
premium_tab_monthly	Fɛɛ nɔ
premium_tab_yearly	Afi fɛɛ
premium_subscribe	Toɔ din
premium_restore	Kɛ nɔŋ ni oŋɔɔ ba eko
premium_current_plan	O nɔŋmɔ: %1$s
premium_billing_notice	Yɛɛɛɛ sika mli mɔ nɔŋ nɔ. Kratafa nɔŋ nɔ ŋwɛɛ sika gbɛɛmɔ nɔŋ — yɛŋɔɔɔ sika ni yɛŋwɛɛɔ nɔŋmɔ bi.
premium_demo_unlock	Kɛ Premium (nɔŋmɔ)
premium_demo_locked	Dum Premium (nɔŋmɔ)
premium_demo_activated	Nɔŋmɔ Premium kɛ. Yɛŋɔɔɔ sika bi — sika gbɛɛmɔ bɔ nɔŋ nɔ mli.
premium_already_active	Premium ye mli fɔn nɔŋ nɔ dɛŋ.
premium_unlocked_toast	Premium kɛ fɔn nɔŋ nɔ (nɔŋmɔ)
paywall_sheet_title	O femli nɔŋmɔ na gbe
paywall_sheet_body_analyses	Akawnt femli bɔɔ ntama yitsomɔi %1$d gbɛɛ fɛɛ gbɛɛ. Premium kɛɛ nɔŋmɔ no jɛ mli.
paywall_sheet_body_tryons	Akawnt femli bɔɔ ba-kpɔmɔi %1$d fɛɛ nɔ.
paywall_sheet_alternative	Anaa kɛ shiŋmɔ kɛkɛ nɔ o bɔɔ ba-kpɔmɔ 1
ads_placeholder_title	Shiŋmɔ
