app_name	Ntoma
app_tagline	Fa ntama a wowɔ no dan wo hwɛbea a ɛdi so.
cd_app_logo	Ntoma mfonini
action_retry	Sɔ hwɛ bio
action_cancel	Gyae
action_back	San
action_close	To mu
action_confirm	Si so
action_save	Sie
action_saved	Wɔasie
action_share	Kyɛ
action_delete	Pepa
action_remove	Yi fi hɔ
action_done	Awie
action_got_it	Mate ase
action_continue	Toa so
action_see_all	Hwɛ nyinaa
action_learn_more	Sua pii
action_open_settings	Bue nhyehyɛe
action_not_now	Ɛnyɛ seesei
action_yes	Aane
action_no	Daabi
action_search	Hwehwɛ
action_clear	Yi hɔ
action_apply	Fa di dwuma
label_loading	Ɛretwe…
label_offline	Wonni intanɛt
label_offline_short	Intanɛt nni hɔ
label_online_short	Intanɛt wɔ hɔ
label_demo_badge	Nhwɛsoɔ
label_free	Kwa
label_premium	Premium
label_advertisement	Dawurubɔ
nav_home	Fie
nav_discover	Hwehwɛ
nav_create	Yɛ Foforɔ
nav_favorites	Anikora
nav_profile	Me Ho Nsɛm
cd_bottom_navigation	Akwankyerɛ titiriw
onboarding_welcome_title	Akwaaba ba Ntoma
onboarding_welcome_body	Ntoma yɛ Akan asɛm a ɛkyerɛ ntama. Fa ntama a wowɔ no twa mfonini na yɛbɛkyerɛ wo deɛ ɛbɛtumi ayɛ — efi kaba ne slit so kɔsi kaftan foforɔ so.
onboarding_step1_title	Twa ntama mfonini anaa fa kɔ mu
onboarding_step1_body	Fa wo ntama no twa mfonini, anaa fa bi fi wo mfonini korabea. Ntama no so na biribiara fi.
onboarding_step2_title	Hu adwene a ɛfata
onboarding_step2_body	Yɛkenkan ahosu, nsɛsɛ ne ntama no mu tebea, na yɛkyerɛ Ghana amammerɛ ne nnɛyi adwene mmaa ne mmarima.
onboarding_step3_title	Hwɛ wo mfonini so
onboarding_step3_body	Sɛ wopɛ a, fa wo mfonini ka ho na hwɛ adwene no wɔ onipa so ansa na woakɔ wo ntontonnaa nkyɛn.
onboarding_step4_title	Sie na kyɛ wo mfonini
