favorites_title	Anikora
favorites_tab_fabrics	Ntama
favorites_tab_designs	Adwene
favorites_tab_looks	Mfonini
favorites_empty_title	Wo anikora yɛ pan
favorites_empty_body	Sie ntama ne mfonini a wopɛ na hu wɔn wɔ ha akyire.
favorites_search_hint	Hwehwɛ w'anikora mu
favorites_removed	Wɔayi afi anikora mu
favorites_count	%1$d a wɔasie
tooltip_favorites	Sie adwene ne mfonini wɔ ha.
history_title	Abakɔsɛm
history_subtitle	Deɛ wayɛ foforɔ no tena wo firi so.
history_empty_title	Wonni abakɔsɛm biara
history_empty_body	Wo skan, adwene ne mfonini bɛda adi wɔ ha.
history_clear	Pepa abakɔsɛm
history_clear_confirm_title	Mepɛ sɛ mepopa abakɔsɛm nyinaa?
history_clear_confirm_body	Ɛyi wo skan, adwene ne mfonini abakɔsɛm firi wo firi so. Wɔbɛkora w'anikora so.
history_cleared	Wɔapopa abakɔsɛm
history_item_deleted	Wɔapopa adeɛ no
history_event_scan	Wɔatwa ntama mfonini
history_event_analysis	Wɔahwehwɛ %1$s mu
history_event_design	Wɔabue %1$s
history_event_look	Wɔayɛ mfonini: %1$s
profile_title	Me Ho Nsɛm
profile_guest	Ɔhɔhoɔ
profile_guest_body	Woredi Ntoma dwuma a wonni akawnt. Biribiara a wobɛsie bɛtena wo firi so.
profile_section_you	Wo
profile_section_activity	Nneyɛe
profile_section_preferences	Apɛdeɛ
profile_section_support	Mmoa
profile_row_history	Abakɔsɛm
profile_row_settings	Nhyehyɛe
profile_row_notifications	Amanneɛbɔ
profile_row_premium	Ntoma Premium
profile_row_help	Mmoa ne afotuo
profile_row_privacy	Kokoamsɛm
profile_row_about	Ntoma ho asɛm
profile_stats_fabrics	Ntama
profile_stats_designs	Adwene
profile_stats_looks	Mfonini
profile_name_hint	Din a wɔde bɛfrɛ wo
profile_name_saved	Wɔasie din no
profile_style_preference	Adwene apɛdeɛ
profile_preference_womenswear	Mmaa ntadeɛ
profile_preference_menswear	Mmarima ntadeɛ
profile_preference_all	Kyerɛ nyinaa
settings_title	Nhyehyɛe
settings_section_appearance	Ahosiesie
settings_section_language	Kasa
settings_section_notifications	Amanneɛbɔ
settings_section_privacy	Kokoamsɛm
settings_section_account	Akawnt
settings_section_help	Mmoa
settings_section_about	Ɛho asɛm
